marketing_airline_id,iata_code,airline_name
abbfe760-888a-4f74-81b9-ed372c33408a,UA,United Air Lines Inc.
bb62b820-eccd-4811-976f-f3f3b728d1f9,NK,Spirit Air Lines
c2a9d6c9-c0f7-4f66-ac7e-374ba12a2cf3,B6,JetBlue Airways
55660e80-3477-4fe4-9839-daaa0d1e8b09,DL,Delta Air Lines Inc.
690c2887-d560-4e03-809d-1e444135a1d5,F9,Frontier Airlines Inc.
850d423b-30fa-48ca-a40f-d599a7087caf,HA,Hawaiian Airlines Inc.
d3d6961e-9816-4f7b-8ad9-61bee3491761,G4,Allegiant Air
7a3fe249-9e07-43b0-89ea-2c7f668a7d14,AS,Alaska Airlines Inc.
959a91f5-1641-487f-bee8-df4eefb93e06,VX,Virgin America
e0618ea9-3be2-4904-ad2b-a759ff2a8ad3,WN,Southwest Airlines Co.
251af8f9-b28b-431d-a9b2-0f6c23d3dd3f,AA,American Airlines Inc.
